Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Height,Weight
25,Brazil,78,82,Olympique de Marseille,19500000.0,38000.0,Left,2.0,3.0,3.0,Normal,Forward,184,76
31,Argentina,76,76,River Plate,6000000.0,17000.0,Right,1.0,3.0,4.0,Normal,Middle,173,72
33,Spain,81,81,Atlético de Madrid,10500000.0,60000.0,Right,3.0,3.0,2.0,Normal,Middle,181,74
27,Portugal,82,82,FC Porto,32500000.0,21000.0,Right,1.0,3.0,4.0,Normal,Middle,171,67
27,Croatia,81,81,Atalanta,27500000.0,60000.0,Right,2.0,4.0,4.0,Normal,Forward,188,82
40,England,83,83,AFC Richmond,700000.0,45000.0,Left,1.0,3.0,3.0,Normal,Middle,182,82
23,Portugal,77,81,Beşiktaş JK,15000000.0,42000.0,Right,1.0,3.0,3.0,Lean,Middle,181,71
26,Uruguay,81,83,Galatasaray SK,28500000.0,73000.0,Right,2.0,3.0,3.0,Normal,Middle,166,60
26,Cameroon,81,83,Napoli,28500000.0,58000.0,Right,1.0,3.0,3.0,Normal,Middle,184,78
27,Netherlands,80,81,Roma,22000000.0,63000.0,Right,2.0,3.0,3.0,Normal,Middle,184,80
31,Netherlands,80,80,Atalanta,15000000.0,51000.0,Right,3.0,3.0,3.0,Normal,Middle,185,76
29,Scotland,77,77,Celtic,9000000.0,50000.0,Left,1.0,4.0,4.0,Normal,Middle,178,74
35,Portugal,81,81,Wolverhampton Wanderers,10500000.0,70000.0,Right,3.0,4.0,3.0,Normal,Middle,170,61
33,Belgium,79,79,Guangzhou City,11000000.0,21000.0,Left,3.0,2.0,4.0,Normal,Middle,185,85
24,Brazil,81,86,Newcastle United,38500000.0,88000.0,Right,2.0,2.0,3.0,Normal,Middle,182,74
22,Portugal,84,90,Atlético de Madrid,68500000.0,78000.0,Right,2.0,4.0,5.0,Stocky,Forward,181,70
33,Austria,82,82,Bologna,19500000.0,51000.0,Right,3.0,4.0,4.0,Normal,Forward,192,83
23,Norway,84,89,Arsenal,63500000.0,105000.0,Left,3.0,2.0,5.0,Lean,Middle,178,68
19,Spain,85,93,FC Barcelona,116000000.0,115000.0,Right,2.0,4.0,4.0,Lean,Middle,174,61
29,Mali,79,79,Everton,17000000.0,49000.0,Right,2.0,3.0,3.0,Stocky,Middle,184,76
30,Spain,85,85,Villarreal CF,53000000.0,64000.0,Left,2.0,4.0,3.0,Normal,Forward,180,77
26,Denmark,83,85,Tottenham Hotspur,40500000.0,110000.0,Right,2.0,4.0,3.0,Normal,Middle,187,84
32,Peru,76,76,Boca Juniors,5000000.0,16000.0,Right,1.0,3.0,3.0,Normal,Back,180,80
28,Argentina,86,86,Roma,69500000.0,130000.0,Left,3.0,3.0,4.0,Stocky,Forward,177,75
25,Uruguay,79,83,Tottenham Hotspur,24500000.0,85000.0,Right,2.0,4.0,4.0,Lean,Middle,187,73
33,Serbia,84,84,Ajax,26500000.0,32000.0,Left,3.0,3.0,4.0,Stocky,Forward,181,76
29,Czech Republic,78,78,SK Slavia Praha,12000000.0,1000.0,Right,1.0,4.0,2.0,Stocky,Middle,180,73
25,England,82,85,Chelsea,37000000.0,110000.0,Left,2.0,3.0,3.0,Normal,Back,180,77
32,Colombia,74,74,Shanghai Shenhua FC,3200000.0,15000.0,Right,3.0,4.0,3.0,Stocky,Middle,183,80
29,Italy,82,82,Roma,27000000.0,77000.0,Right,3.0,4.0,4.0,Lean,Middle,186,75
30,Spain,84,84,Real Madrid CF,36500000.0,185000.0,Right,3.0,3.0,3.0,Stocky,Back,173,73
24,Morocco,82,86,FC Bayern München,40500000.0,59000.0,Right,2.0,3.0,3.0,Lean,Back,183,62
30,Spain,78,78,Getafe CF,13500000.0,33000.0,Right,1.0,4.0,3.0,Normal,Middle,167,66
23,Portugal,79,86,Sporting CP,35000000.0,15000.0,Right,1.0,3.0,3.0,Normal,Middle,183,76
31,Argentina,78,78,Udinese Calcio,11500000.0,20000.0,Right,2.0,4.0,4.0,Lean,Middle,182,77
32,Jamaica,79,79,West Ham United,14000000.0,79000.0,Right,2.0,3.0,4.0,Stocky,Forward,178,82
31,France,84,84,AS Monaco,35500000.0,88000.0,Right,2.0,5.0,4.0,Stocky,Forward,170,68
27,England,86,86,Chelsea,72500000.0,195000.0,Right,4.0,3.0,4.0,Stocky,Forward,170,69
27,Spain,83,84,RCD Espanyol de Barcelona,42500000.0,35000.0,Right,1.0,4.0,4.0,Normal,Forward,180,79
34,Italy,75,75,FC Augsburg,2600000.0,26000.0,Right,2.0,4.0,3.0,Normal,Middle,182,80
20,England,82,89,Arsenal,60500000.0,76000.0,Left,2.0,3.0,3.0,Lean,Middle,178,65
22,Brazil,78,78,Internacional,15000000.0,24000.0,Left,1.0,5.0,3.0,Normal,Back,186,73
31,Brazil,80,80,Juventus,15500000.0,95000.0,Left,3.0,3.0,3.0,Stocky,Back,180,80
33,Germany,79,79,Borussia Mönchengladbach,11000000.0,34000.0,Right,3.0,4.0,4.0,Normal,Middle,181,80
24,Zambia,76,82,Brighton & Hove Albion,12000000.0,49000.0,Right,1.0,3.0,3.0,Normal,Middle,184,76
30,Brazil,83,83,Palmeiras,35000000.0,59000.0,Right,1.0,4.0,4.0,Normal,Middle,177,75
26,Brazil,76,79,Fulham,10000000.0,51000.0,Right,1.0,4.0,4.0,Normal,Middle,177,70
30,Belgium,78,78,Borussia Dortmund,12000000.0,41000.0,Right,2.0,4.0,3.0,Normal,Back,191,90
29,Switzerland,74,74,Torino F.C.,3500000.0,33000.0,Left,2.0,3.0,3.0,Normal,Back,182,77
29,Spain,80,80,Real Betis Balompié,18500000.0,29000.0,Left,1.0,3.0,3.0,Lean,Back,179,68
26,Uruguay,77,80,Santos Laguna,12500000.0,22000.0,Right,1.0,4.0,3.0,Normal,Middle,168,68
29,France,80,80,Olympique de Marseille,18500000.0,45000.0,Right,1.0,3.0,3.0,Lean,Middle,178,69
32,Ukraine,79,79,Adana Demirspor,11500000.0,25000.0,Left,2.0,3.0,3.0,Normal,Back,185,83
25,Scotland,80,83,Manchester United,25000000.0,100000.0,Right,2.0,3.0,3.0,Normal,Middle,193,88
29,Germany,81,81,Borussia Mönchengladbach,25500000.0,40000.0,Right,2.0,4.0,3.0,Normal,Middle,176,73
35,Mexico,77,77,Real Betis Balompié,3000000.0,16000.0,Left,3.0,2.0,3.0,Lean,Middle,169,67
34,Slovakia,75,75,Watford,2600000.0,5000.0,Right,2.0,4.0,3.0,Normal,Middle,186,84
22,Italy,81,88,Roma,53000000.0,71000.0,Left,2.0,3.0,4.0,Stocky,Forward,190,75
22,Sweden,81,87,Tottenham Hotspur,41500000.0,105000.0,Left,2.0,3.0,4.0,Normal,Back,186,75
24,France,78,81,U.S. Sassuolo Calcio,19000000.0,30000.0,Right,1.0,3.0,4.0,Lean,Middle,167,58
38,Brazil,77,77,FC Barcelona,2300000.0,71000.0,Right,4.0,3.0,4.0,Normal,Back,172,70
33,France,80,80,Villarreal CF,13000000.0,39000.0,Right,2.0,3.0,3.0,Lean,Middle,190,80
27,Spain,82,83,Valencia CF,32000000.0,44000.0,Left,3.0,3.0,4.0,Lean,Back,172,66
25,England,82,84,Leicester City,38000000.0,100000.0,Right,1.0,4.0,4.0,Lean,Middle,175,73
28,Denmark,76,76,Club Brugge KV,7500000.0,26000.0,Right,1.0,3.0,3.0,Normal,Middle,182,76
26,Norway,78,79,Feyenoord,15000000.0,12000.0,Right,2.0,3.0,3.0,Lean,Middle,179,71
34,Spain,80,80,Villarreal CF,10000000.0,39000.0,Right,2.0,4.0,4.0,Lean,Forward,180,70
21,Turkey,79,86,Feyenoord,35500000.0,11000.0,Right,2.0,5.0,3.0,Normal,Middle,175,68
28,Netherlands,85,85,FC Barcelona,55000000.0,230000.0,Right,4.0,3.0,5.0,Stocky,Back,176,78
24,Portugal,81,86,Sporting CP,39000000.0,19000.0,Right,1.0,4.0,4.0,Normal,Back,173,77
27,Turkey,74,75,Hull City,4800000.0,17000.0,Right,1.0,3.0,3.0,Normal,Middle,179,80
29,Spain,84,84,Athletic Club de Bilbao,41500000.0,49000.0,Right,2.0,3.0,4.0,Normal,Middle,170,66
28,France,77,77,Hellas Verona,10500000.0,29000.0,Right,1.0,3.0,3.0,Normal,Middle,180,78
31,France,79,79,LOSC Lille,12500000.0,35000.0,Right,2.0,3.0,3.0,Normal,Middle,180,74
25,Germany,77,81,Hertha BSC,14500000.0,30000.0,Right,2.0,3.0,4.0,Normal,Middle,184,75
34,Brazil,77,77,Fluminense,3900000.0,23000.0,Left,1.0,3.0,3.0,Lean,Middle,175,68
24,Côte d'Ivoire,81,86,PSV,35500000.0,20000.0,Right,2.0,4.0,3.0,Normal,Middle,191,77
36,Argentina,78,78,River Plate,2800000.0,13000.0,Right,2.0,4.0,3.0,Stocky,Middle,178,77
30,Brazil,78,78,Antalyaspor,12000000.0,27000.0,Right,1.0,3.0,4.0,Stocky,Middle,173,66
26,Russia,79,80,AS Monaco,20500000.0,55000.0,Right,3.0,4.0,4.0,Lean,Middle,180,69
25,Netherlands,74,79,Coventry City,6000000.0,20000.0,Right,1.0,3.0,3.0,Stocky,Middle,169,61
29,Croatia,77,77,Dinamo Zagreb,10500000.0,1000.0,Right,2.0,4.0,3.0,Lean,Back,179,69
26,Mexico,74,75,CF Monterrey ,4900000.0,39000.0,Left,1.0,2.0,3.0,Normal,Middle,170,79
27,Tunisia,79,80,1. FC Köln,18000000.0,31000.0,Right,2.0,3.0,3.0,Lean,Middle,185,74
28,Malta,75,75,Royale Union Saint-Gilloise,5500000.0,17000.0,Left,1.0,5.0,3.0,Normal,Middle,176,73
22,England,85,92,Manchester City,109500000.0,180000.0,Left,3.0,3.0,4.0,Lean,Back,171,69
28,Brazil,88,90,Paris Saint-Germain,92000000.0,170000.0,Right,3.0,3.0,3.0,Normal,Back,183,75
26,England,80,81,Manchester United,22500000.0,105000.0,Left,2.0,2.0,3.0,Stocky,Back,181,75
30,Nigeria,78,78,Spartak Moskva,13500000.0,56000.0,Right,2.0,4.0,4.0,Stocky,Middle,177,79
26,Germany,80,82,Borussia Dortmund,26000000.0,52000.0,Right,2.0,4.0,4.0,Lean,Middle,178,68
28,Côte d'Ivoire,79,79,Villarreal CF,16000000.0,35000.0,Right,2.0,3.0,3.0,Stocky,Back,174,74
29,Angola,79,79,Club Brugge KV,15500000.0,30000.0,Right,1.0,3.0,3.0,Normal,Back,180,73
27,Italy,76,77,Lazio,7500000.0,38000.0,Right,2.0,4.0,3.0,Normal,Middle,180,70
34,Uruguay,77,77,Getafe CF,3900000.0,26000.0,Right,1.0,3.0,3.0,Normal,Back,173,68
25,Brazil,83,86,Arsenal,48500000.0,115000.0,Right,2.0,3.0,4.0,Stocky,Forward,175,73
22,Brazil,78,78,RB Bragantino,15000000.0,16000.0,Right,1.0,3.0,4.0,Normal,Back,176,75
34,Ecuador,78,78,Gallos Blancos de Querétaro,5000000.0,13000.0,Right,2.0,2.0,3.0,Stocky,Back,180,88
27,Czech Republic,81,83,West Ham United,28000000.0,75000.0,Right,1.0,3.0,3.0,Lean,Middle,192,86
30,Brazil,82,82,Aston Villa,29500000.0,100000.0,Right,4.0,4.0,5.0,Normal,Back,172,68
23,England,84,87,West Ham United,52000000.0,83000.0,Right,1.0,3.0,2.0,Normal,Middle,185,80
27,Portugal,81,82,SC Braga,30000000.0,23000.0,Right,1.0,3.0,3.0,Lean,Middle,173,63
29,Argentina,75,75,Independiente del Valle,5500000.0,1000.0,Right,1.0,3.0,3.0,Lean,Middle,171,70
33,Turkey,72,72,Fatih Karagümrük S.K.,1200000.0,16000.0,Left,2.0,2.0,3.0,Lean,Back,181,72
31,Mexico,82,82,Wolverhampton Wanderers,25500000.0,110000.0,Right,3.0,4.0,3.0,Normal,Forward,188,81
24,England,84,91,AFC Richmond,85500000.0,78000.0,Right,1.0,4.0,5.0,Normal,Forward,178,84
29,Czech Republic,80,80,West Ham United,18500000.0,73000.0,Right,1.0,3.0,3.0,Normal,Back,175,76
29,Argentina,81,81,Olympique Lyonnais,22500000.0,72000.0,Left,3.0,2.0,3.0,Normal,Back,172,65
28,Germany,77,77,PSV,9500000.0,18000.0,Left,2.0,3.0,3.0,Normal,Back,177,77
25,Paraguay,75,78,Club América,7500000.0,39000.0,Right,1.0,3.0,3.0,Normal,Middle,170,70
30,Germany,81,81,Eintracht Frankfurt,25000000.0,38000.0,Right,4.0,4.0,4.0,Normal,Forward,176,72
32,Bosnia and Herzegovina,81,81,Trabzonspor,20500000.0,48000.0,Right,2.0,4.0,4.0,Lean,Back,172,63
24,Denmark,77,82,Leeds United,15000000.0,31000.0,Right,1.0,4.0,3.0,Normal,Back,187,70
