Age,Overall,Potential,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Height,Weight
23,87,90,100500000.0,150000.0,Right,3.0,4.0,3.0,Stocky,Back,180,69
35,84,84,18000000.0,1000.0,Right,4.0,4.0,3.0,Stocky,Forward,182,86
23,84,87,53500000.0,90000.0,Right,2.0,4.0,4.0,Lean,Back,181,73
29,86,86,58000000.0,110000.0,Right,3.0,4.0,3.0,Lean,Middle,181,68
30,90,90,115500000.0,270000.0,Left,4.0,3.0,4.0,Stocky,Back,175,71
22,84,90,62500000.0,75000.0,Right,1.0,4.0,3.0,Stocky,Middle,181,79
31,86,86,55500000.0,180000.0,Right,3.0,3.0,5.0,Normal,Middle,174,70
22,84,88,57000000.0,120000.0,Right,2.0,3.0,3.0,Stocky,Back,178,87
33,85,85,28000000.0,190000.0,Left,3.0,3.0,3.0,Stocky,Back,170,68
26,83,86,47000000.0,74000.0,Left,3.0,3.0,4.0,Lean,Reserve,171,63
24,80,86,33000000.0,72000.0,Right,3.0,4.0,4.0,Normal,Reserve,176,70
31,84,84,35000000.0,42000.0,Left,2.0,3.0,4.0,Lean,Middle,176,65
24,82,86,40000000.0,63000.0,Left,2.0,3.0,4.0,Lean,Middle,175,70
29,80,80,18500000.0,110000.0,Left,3.0,2.0,3.0,Stocky,Reserve,181,71
29,82,82,30500000.0,73000.0,Left,3.0,4.0,4.0,Stocky,Forward,181,79
23,80,85,31500000.0,90000.0,Right,2.0,3.0,3.0,Normal,Middle,183,84
30,89,89,86000000.0,300000.0,Right,3.0,3.0,2.0,Stocky,Middle,185,84
25,83,85,42000000.0,64000.0,Left,2.0,3.0,4.0,Normal,Back,171,69
25,84,86,47500000.0,165000.0,Right,3.0,4.0,3.0,Normal,Reserve,183,88
28,82,82,27500000.0,100000.0,Left,2.0,2.0,3.0,Stocky,Back,178,74
33,91,91,84000000.0,420000.0,Right,5.0,4.0,4.0,Stocky,Forward,185,81
34,81,81,12000000.0,105000.0,Right,4.0,4.0,3.0,Stocky,Reserve,180,75
25,78,79,16500000.0,19000.0,Right,1.0,4.0,4.0,Normal,Middle,167,65
24,86,89,94000000.0,90000.0,Right,3.0,3.0,5.0,Normal,Reserve,175,73
32,85,85,37500000.0,170000.0,Right,3.0,2.0,3.0,Stocky,Back,183,83
24,85,90,76000000.0,82000.0,Left,3.0,3.0,3.0,Stocky,Back,184,81
31,85,85,44000000.0,185000.0,Right,3.0,4.0,4.0,Normal,Reserve,180,80
28,81,81,26000000.0,66000.0,Right,2.0,3.0,3.0,Lean,Back,178,68
27,82,82,29500000.0,59000.0,Left,3.0,3.0,3.0,Normal,Middle,183,76
31,80,80,17500000.0,83000.0,Right,3.0,4.0,3.0,Stocky,Middle,175,74
27,81,81,27500000.0,75000.0,Right,3.0,3.0,3.0,Normal,Middle,181,81
28,89,89,105500000.0,240000.0,Right,4.0,5.0,3.0,Stocky,Forward,188,89
30,83,83,34500000.0,74000.0,Right,3.0,4.0,3.0,Normal,Middle,176,77
30,78,78,12000000.0,51000.0,Right,1.0,3.0,3.0,Lean,Back,182,75
32,83,83,28500000.0,135000.0,Right,3.0,3.0,3.0,Normal,Middle,182,80
35,91,91,54000000.0,195000.0,Left,5.0,4.0,4.0,Stocky,Back,169,67
29,87,87,77500000.0,155000.0,Right,3.0,4.0,4.0,Stocky,Middle,165,60
31,81,81,21000000.0,19000.0,Right,1.0,4.0,3.0,Normal,Middle,183,77
23,84,90,66000000.0,175000.0,Right,1.0,4.0,3.0,Stocky,Reserve,182,78
30,89,89,99500000.0,145000.0,Right,4.0,4.0,4.0,Stocky,Forward,174,69
27,81,81,27500000.0,39000.0,Right,2.0,3.0,4.0,Normal,Reserve,188,84
24,82,87,46000000.0,70000.0,Left,2.0,4.0,5.0,Normal,Middle,180,72
28,82,82,30500000.0,30000.0,Right,1.0,3.0,3.0,Lean,Middle,180,71
25,84,86,52500000.0,115000.0,Right,2.0,5.0,4.0,Normal,Middle,176,72
29,80,80,20500000.0,120000.0,Left,3.0,3.0,4.0,Lean,Middle,169,62
27,88,88,97500000.0,260000.0,Left,2.0,3.0,4.0,Lean,Middle,173,64
26,82,85,36500000.0,19000.0,Left,3.0,2.0,3.0,Lean,Back,172,67
25,83,88,53000000.0,51000.0,Right,2.0,4.0,3.0,Normal,Middle,180,76
25,85,89,76000000.0,170000.0,Right,2.0,5.0,4.0,Normal,Reserve,178,73
19,84,91,81500000.0,41000.0,Right,2.0,4.0,4.0,Lean,Middle,186,75
29,82,82,29500000.0,71000.0,Left,2.0,3.0,3.0,Lean,Middle,188,80
31,84,84,30500000.0,120000.0,Right,2.0,4.0,3.0,Normal,Back,173,71
31,84,84,19500000.0,130000.0,Right,3.0,4.0,3.0,Normal,Reserve,180,74
30,81,81,21500000.0,33000.0,Left,2.0,4.0,2.0,Normal,Reserve,182,79
23,91,95,190500000.0,230000.0,Right,4.0,4.0,5.0,Stocky,Forward,182,73
22,81,88,52500000.0,55000.0,Right,1.0,3.0,3.0,Lean,Middle,185,77
32,82,82,21000000.0,35000.0,Left,2.0,3.0,3.0,Normal,Back,181,80
29,81,81,25500000.0,40000.0,Right,3.0,5.0,5.0,Normal,Back,173,66
25,76,80,10500000.0,24000.0,Right,1.0,4.0,4.0,Normal,Middle,175,70
28,80,80,21000000.0,67000.0,Right,3.0,4.0,3.0,Normal,Reserve,178,76
28,84,84,42000000.0,100000.0,Right,3.0,4.0,4.0,Normal,Middle,178,76
25,83,86,47500000.0,105000.0,Right,2.0,4.0,3.0,Normal,Middle,180,80
34,79,79,8000000.0,25000.0,Right,1.0,4.0,3.0,Normal,Middle,180,79
28,81,81,25500000.0,65000.0,Left,2.0,4.0,4.0,Normal,Middle,183,71
28,82,82,27500000.0,57000.0,Left,3.0,2.0,4.0,Normal,Back,170,71
21,84,89,60500000.0,59000.0,Left,3.0,4.0,4.0,Stocky,Back,185,77
33,79,79,11000000.0,55000.0,Right,2.0,3.0,3.0,Normal,Reserve,181,74
24,80,84,30000000.0,49000.0,Left,2.0,2.0,3.0,Normal,Middle,183,77
29,79,79,15000000.0,42000.0,Right,2.0,3.0,3.0,Normal,Reserve,177,67
29,85,85,52500000.0,165000.0,Right,4.0,4.0,5.0,Stocky,Reserve,191,84
36,83,83,8000000.0,28000.0,Right,2.0,2.0,4.0,Lean,Back,172,60
28,83,83,33000000.0,105000.0,Right,3.0,4.0,3.0,Stocky,Back,175,70
28,87,88,77000000.0,185000.0,Right,3.0,2.0,3.0,Stocky,Middle,188,78
27,80,81,24000000.0,58000.0,Left,3.0,4.0,3.0,Lean,Reserve,184,75
24,86,90,98500000.0,110000.0,Right,3.0,4.0,4.0,Stocky,Forward,174,72
33,86,86,42000000.0,64000.0,Right,2.0,4.0,3.0,Normal,Middle,182,74
26,81,83,31500000.0,100000.0,Left,1.0,3.0,4.0,Normal,Reserve,177,68
30,83,83,35500000.0,150000.0,Right,3.0,4.0,5.0,Stocky,Reserve,181,76
29,80,80,18500000.0,58000.0,Left,2.0,3.0,3.0,Normal,Back,185,78
37,90,90,41000000.0,220000.0,Right,5.0,4.0,5.0,Stocky,Forward,187,83
27,83,84,38000000.0,170000.0,Left,1.0,5.0,4.0,Stocky,Back,180,73
30,89,89,99500000.0,200000.0,Right,5.0,5.0,5.0,Stocky,Back,175,68
32,81,81,20500000.0,14000.0,Left,4.0,3.0,4.0,Stocky,Forward,185,82
27,81,82,26500000.0,57000.0,Right,2.0,4.0,3.0,Normal,Middle,187,83
25,83,84,38500000.0,64000.0,Right,2.0,3.0,3.0,Lean,Middle,180,72
33,85,85,33500000.0,78000.0,Right,4.0,4.0,4.0,Stocky,Middle,180,71
28,80,81,20500000.0,51000.0,Left,2.0,2.0,3.0,Normal,Middle,184,74
31,89,89,72000000.0,220000.0,Right,4.0,3.0,2.0,Stocky,Middle,168,70
28,87,87,72000000.0,185000.0,Left,3.0,2.0,3.0,Stocky,Back,178,64
31,79,79,12500000.0,60000.0,Right,3.0,4.0,3.0,Stocky,Reserve,173,67
36,81,81,1400000.0,10000.0,Right,3.0,3.0,3.0,Normal,Reserve,183,83
28,85,85,54500000.0,90000.0,Right,3.0,4.0,4.0,Lean,Middle,185,73
28,82,82,31000000.0,64000.0,Left,2.0,4.0,4.0,Stocky,Forward,190,80
31,81,81,18500000.0,140000.0,Right,2.0,4.0,4.0,Normal,Reserve,173,70
30,81,81,25000000.0,28000.0,Right,3.0,3.0,4.0,Lean,Reserve,179,70
24,80,85,29500000.0,46000.0,Left,1.0,3.0,4.0,Lean,Reserve,173,68
30,78,78,12000000.0,27000.0,Right,1.0,4.0,3.0,Normal,Middle,180,71
30,81,81,25000000.0,33000.0,Right,2.0,5.0,4.0,Normal,Middle,172,69
29,79,79,17000000.0,26000.0,Right,2.0,4.0,4.0,Normal,Middle,170,63
28,80,80,18500000.0,79000.0,Right,2.0,4.0,4.0,Normal,Reserve,180,75
27,81,82,29500000.0,69000.0,Right,2.0,3.0,3.0,Normal,Middle,173,66
34,77,77,3900000.0,17000.0,Right,1.0,5.0,3.0,Stocky,Back,170,69
34,76,76,3500000.0,22000.0,Right,3.0,3.0,3.0,Stocky,Middle,177,89
34,91,91,64000000.0,450000.0,Right,4.0,4.0,4.0,Normal,Forward,185,81
32,88,88,72000000.0,310000.0,Right,4.0,5.0,3.0,Normal,Middle,183,76
32,88,88,29500000.0,200000.0,Right,4.0,3.0,3.0,Normal,Back,170,66
34,81,81,12000000.0,47000.0,Right,3.0,4.0,4.0,Normal,Middle,176,78
22,81,87,38500000.0,15000.0,Right,1.0,3.0,3.0,Normal,Back,173,69
27,81,82,30000000.0,41000.0,Left,1.0,3.0,4.0,Normal,Forward,190,86
29,84,84,36000000.0,115000.0,Right,2.0,3.0,3.0,Lean,Middle,185,77
22,82,89,61500000.0,145000.0,Right,2.0,3.0,3.0,Lean,Reserve,187,81
34,84,84,20000000.0,160000.0,Left,4.0,2.0,5.0,Stocky,Back,180,69
32,85,85,21500000.0,80000.0,Left,3.0,3.0,3.0,Lean,Back,182,74
28,84,84,42000000.0,155000.0,Right,3.0,4.0,4.0,Normal,Reserve,176,80
29,89,89,101000000.0,240000.0,Right,4.0,5.0,4.0,Stocky,Back,183,78
32,87,87,63000000.0,115000.0,Right,4.0,4.0,3.0,Lean,Middle,185,76
27,83,84,42500000.0,80000.0,Right,2.0,4.0,4.0,Normal,Reserve,171,70
31,79,79,12500000.0,95000.0,Left,2.0,3.0,3.0,Lean,Reserve,188,85
36,84,84,7500000.0,75000.0,Right,4.0,3.0,3.0,Stocky,Back,184,82
32,81,81,20000000.0,145000.0,Right,3.0,4.0,3.0,Normal,Reserve,178,72
25,80,82,26500000.0,84000.0,Right,3.0,4.0,4.0,Stocky,Reserve,172,65
32,78,78,11000000.0,52000.0,Right,2.0,3.0,4.0,Normal,Middle,181,75
33,77,77,2900000.0,70000.0,Right,3.0,3.0,2.0,Normal,Reserve,184,77
28,82,82,27500000.0,66000.0,Right,2.0,3.0,3.0,Normal,Back,183,83
25,81,86,34500000.0,88000.0,Right,1.0,3.0,4.0,Lean,Reserve,182,80
34,80,80,9500000.0,45000.0,Right,3.0,5.0,4.0,Normal,Middle,183,73
33,79,79,9000000.0,125000.0,Left,4.0,4.0,5.0,Stocky,Reserve,174,75
33,80,80,13000000.0,20000.0,Left,4.0,3.0,4.0,Stocky,Back,180,85
35,80,80,9000000.0,28000.0,Right,2.0,3.0,3.0,Normal,Reserve,184,83
26,87,89,88500000.0,200000.0,Right,3.0,4.0,3.0,Normal,Middle,191,82
22,76,85,17000000.0,45000.0,Left,1.0,4.0,3.0,Normal,Reserve,188,78
25,79,82,21500000.0,73000.0,Left,2.0,3.0,3.0,Lean,Back,175,64
21,78,87,31500000.0,12000.0,Right,1.0,4.0,3.0,Normal,Middle,180,77
30,81,81,22000000.0,23000.0,Left,1.0,4.0,2.0,Normal,Back,172,68
23,81,85,34500000.0,90000.0,Left,1.0,3.0,3.0,Normal,Reserve,172,66
32,80,80,16500000.0,14000.0,Right,2.0,4.0,4.0,Lean,Middle,171,67
34,82,82,14000000.0,39000.0,Right,3.0,4.0,3.0,Normal,Reserve,184,78
27,76,76,8000000.0,19000.0,Left,2.0,4.0,3.0,Stocky,Reserve,175,70
25,78,81,18500000.0,63000.0,Left,2.0,4.0,3.0,Lean,Reserve,179,69
25,83,86,48000000.0,180000.0,Left,2.0,4.0,4.0,Lean,Reserve,176,68
25,80,82,26500000.0,100000.0,Right,2.0,3.0,4.0,Stocky,Reserve,171,73
35,82,82,700000.0,2000.0,Right,3.0,5.0,4.0,Stocky,Reserve,168,65
30,85,85,51500000.0,165000.0,Right,2.0,3.0,3.0,Lean,Middle,180,68
27,79,80,20000000.0,83000.0,Left,2.0,2.0,3.0,Normal,Middle,178,68
23,80,86,33000000.0,41000.0,Right,1.0,3.0,4.0,Lean,Middle,185,68
30,79,79,17000000.0,70000.0,Right,1.0,4.0,3.0,Normal,Middle,181,78
27,80,81,24000000.0,105000.0,Left,2.0,3.0,3.0,Lean,Reserve,192,80
29,79,79,17000000.0,21000.0,Right,2.0,3.0,3.0,Normal,Reserve,179,70
28,85,85,54500000.0,48000.0,Left,3.0,4.0,4.0,Stocky,Middle,173,75
28,83,83,36500000.0,78000.0,Right,3.0,5.0,4.0,Lean,Middle,180,75
33,81,81,16000000.0,74000.0,Right,3.0,5.0,4.0,Normal,Reserve,177,75
19,79,89,38000000.0,78000.0,Left,3.0,3.0,4.0,Lean,Reserve,182,68
26,83,85,44500000.0,75000.0,Left,2.0,3.0,4.0,Normal,Middle,189,70
36,78,78,4400000.0,69000.0,Right,2.0,4.0,3.0,Stocky,Reserve,175,70
32,79,79,14000000.0,78000.0,Right,3.0,4.0,3.0,Lean,Reserve,182,71
32,80,80,16500000.0,12000.0,Right,3.0,4.0,3.0,Normal,Middle,185,78
22,78,86,32000000.0,100000.0,Right,1.0,4.0,4.0,Normal,Reserve,173,71
24,80,84,30000000.0,46000.0,Right,2.0,4.0,3.0,Normal,Back,176,75
27,78,79,16000000.0,40000.0,Right,2.0,4.0,3.0,Lean,Middle,172,70
21,88,94,148000000.0,220000.0,Left,4.0,3.0,3.0,Stocky,Forward,195,94
24,82,86,40000000.0,37000.0,Right,2.0,4.0,3.0,Lean,Middle,185,75
24,81,86,35000000.0,95000.0,Left,2.0,3.0,3.0,Normal,Reserve,178,77
25,80,82,26500000.0,34000.0,Right,2.0,4.0,3.0,Lean,Middle,184,76
31,80,80,10000000.0,30000.0,Right,3.0,3.0,4.0,Lean,Reserve,179,69
23,84,87,57500000.0,130000.0,Right,3.0,4.0,3.0,Lean,Back,180,74
31,80,80,17500000.0,39000.0,Right,2.0,4.0,3.0,Normal,Reserve,176,74
30,80,80,18000000.0,95000.0,Right,2.0,4.0,3.0,Lean,Reserve,184,78
25,79,84,25500000.0,105000.0,Right,3.0,3.0,3.0,Stocky,Reserve,184,74
35,85,85,23000000.0,110000.0,Right,3.0,4.0,3.0,Stocky,Forward,179,74
27,81,81,27500000.0,43000.0,Right,2.0,4.0,4.0,Normal,Middle,185,74
25,75,80,8000000.0,1000.0,Left,1.0,4.0,3.0,Normal,Reserve,189,84
30,90,90,98000000.0,230000.0,Right,4.0,3.0,2.0,Stocky,Back,193,92
25,78,82,19500000.0,38000.0,Left,2.0,3.0,3.0,Normal,Forward,184,76
31,76,76,6000000.0,17000.0,Right,1.0,3.0,4.0,Normal,Middle,173,72
33,81,81,10500000.0,60000.0,Right,3.0,3.0,2.0,Normal,Middle,181,74
27,82,82,32500000.0,21000.0,Right,1.0,3.0,4.0,Normal,Middle,171,67
29,82,82,30500000.0,76000.0,Left,2.0,4.0,3.0,Stocky,Reserve,179,85
27,81,81,27500000.0,60000.0,Right,2.0,4.0,4.0,Normal,Forward,188,82
40,83,83,700000.0,45000.0,Left,1.0,3.0,3.0,Normal,Middle,182,82
26,80,80,23000000.0,33000.0,Right,1.0,4.0,3.0,Normal,Reserve,175,73
23,77,81,15000000.0,42000.0,Right,1.0,3.0,3.0,Lean,Middle,181,71
26,81,83,28500000.0,73000.0,Right,2.0,3.0,3.0,Normal,Middle,166,60
26,81,83,28500000.0,58000.0,Right,1.0,3.0,3.0,Normal,Middle,184,78
27,80,81,22000000.0,63000.0,Right,2.0,3.0,3.0,Normal,Middle,184,80
31,80,80,15000000.0,51000.0,Right,3.0,3.0,3.0,Normal,Middle,185,76
29,77,77,9000000.0,50000.0,Left,1.0,4.0,4.0,Normal,Middle,178,74
35,81,81,10500000.0,70000.0,Right,3.0,4.0,3.0,Normal,Middle,170,61
33,79,79,11000000.0,21000.0,Left,3.0,2.0,4.0,Normal,Middle,185,85
24,81,86,38500000.0,88000.0,Right,2.0,2.0,3.0,Normal,Middle,182,74
22,84,90,68500000.0,78000.0,Right,2.0,4.0,5.0,Stocky,Forward,181,70
33,82,82,19500000.0,51000.0,Right,3.0,4.0,4.0,Normal,Forward,192,83
25,81,84,34500000.0,105000.0,Right,3.0,5.0,4.0,Normal,Reserve,181,71
23,84,89,63500000.0,105000.0,Left,3.0,2.0,5.0,Lean,Middle,178,68
19,85,93,116000000.0,115000.0,Right,2.0,4.0,4.0,Lean,Middle,174,61
29,79,79,17000000.0,49000.0,Right,2.0,3.0,3.0,Stocky,Middle,184,76
30,85,85,53000000.0,64000.0,Left,2.0,4.0,3.0,Normal,Forward,180,77
26,83,85,40500000.0,110000.0,Right,2.0,4.0,3.0,Normal,Middle,187,84
30,77,77,9000000.0,25000.0,Right,2.0,3.0,3.0,Stocky,Reserve,175,75
36,81,81,5000000.0,86000.0,Right,3.0,4.0,3.0,Lean,Reserve,179,67
32,76,76,5000000.0,16000.0,Right,1.0,3.0,3.0,Normal,Back,180,80
28,86,86,69500000.0,130000.0,Left,3.0,3.0,4.0,Stocky,Forward,177,75
25,79,83,24500000.0,85000.0,Right,2.0,4.0,4.0,Lean,Middle,187,73
33,84,84,26500000.0,32000.0,Left,3.0,3.0,4.0,Stocky,Forward,181,76
29,78,78,12000000.0,1000.0,Right,1.0,4.0,2.0,Stocky,Middle,180,73
25,82,85,37000000.0,110000.0,Left,2.0,3.0,3.0,Normal,Back,180,77
32,74,74,3200000.0,15000.0,Right,3.0,4.0,3.0,Stocky,Middle,183,80
29,82,82,27000000.0,77000.0,Right,3.0,4.0,4.0,Lean,Middle,186,75
32,73,73,2000000.0,11000.0,Left,1.0,3.0,3.0,Normal,Reserve,178,70
30,84,84,36500000.0,185000.0,Right,3.0,3.0,3.0,Stocky,Back,173,73
24,82,86,40500000.0,59000.0,Right,2.0,3.0,3.0,Lean,Back,183,62
31,79,79,14500000.0,17000.0,Right,3.0,4.0,3.0,Normal,Reserve,177,72
28,77,77,10500000.0,90000.0,Right,2.0,4.0,4.0,Normal,Reserve,175,70
28,75,75,5500000.0,14000.0,Left,1.0,5.0,3.0,Normal,Reserve,187,83
34,86,86,15500000.0,160000.0,Right,4.0,3.0,3.0,Normal,Reserve,170,67
30,78,78,13500000.0,33000.0,Right,1.0,4.0,3.0,Normal,Middle,167,66
28,75,75,5500000.0,1000.0,Right,1.0,4.0,3.0,Normal,Reserve,172,66
23,79,86,35000000.0,15000.0,Right,1.0,3.0,3.0,Normal,Middle,183,76
31,78,78,11500000.0,20000.0,Right,2.0,4.0,4.0,Lean,Middle,182,77
27,75,75,6000000.0,9000.0,Right,1.0,4.0,3.0,Normal,Reserve,173,75
32,79,79,14000000.0,79000.0,Right,2.0,3.0,4.0,Stocky,Forward,178,82
31,84,84,35500000.0,88000.0,Right,2.0,5.0,4.0,Stocky,Forward,170,68
27,86,86,72500000.0,195000.0,Right,4.0,3.0,4.0,Stocky,Forward,170,69
27,83,84,42500000.0,35000.0,Right,1.0,4.0,4.0,Normal,Forward,180,79
27,77,77,10000000.0,43000.0,Left,1.0,4.0,4.0,Lean,Reserve,176,70
20,79,89,38500000.0,45000.0,Right,1.0,4.0,4.0,Lean,Reserve,190,79
34,75,75,2600000.0,26000.0,Right,2.0,4.0,3.0,Normal,Middle,182,80
20,82,89,60500000.0,76000.0,Left,2.0,3.0,3.0,Lean,Middle,178,65
22,78,78,15000000.0,24000.0,Left,1.0,5.0,3.0,Normal,Back,186,73
31,80,80,15500000.0,95000.0,Left,3.0,3.0,3.0,Stocky,Back,180,80
33,79,79,11000000.0,34000.0,Right,3.0,4.0,4.0,Normal,Middle,181,80
26,81,85,32000000.0,120000.0,Right,2.0,3.0,3.0,Stocky,Reserve,178,72
24,76,82,12000000.0,40000.0,Right,1.0,3.0,3.0,Normal,Reserve,185,77
33,80,80,10500000.0,53000.0,Right,3.0,4.0,3.0,Lean,Reserve,171,68
22,79,79,18500000.0,17000.0,Right,1.0,3.0,2.0,Normal,Reserve,188,88
24,76,82,12000000.0,49000.0,Right,1.0,3.0,3.0,Normal,Middle,184,76
30,83,83,35000000.0,59000.0,Right,1.0,4.0,4.0,Normal,Middle,177,75
26,76,79,10000000.0,51000.0,Right,1.0,4.0,4.0,Normal,Middle,177,70
25,81,85,33000000.0,82000.0,Left,2.0,3.0,3.0,Normal,Reserve,178,70
30,78,78,12000000.0,41000.0,Right,2.0,4.0,3.0,Normal,Back,191,90
29,74,74,3500000.0,33000.0,Left,2.0,3.0,3.0,Normal,Back,182,77
29,80,80,18500000.0,29000.0,Left,1.0,3.0,3.0,Lean,Back,179,68
24,75,80,8500000.0,1000.0,Right,1.0,3.0,4.0,Normal,Reserve,182,75
26,77,80,12500000.0,22000.0,Right,1.0,4.0,3.0,Normal,Middle,168,68
29,80,80,18500000.0,45000.0,Right,1.0,3.0,3.0,Lean,Middle,178,69
32,79,79,11500000.0,25000.0,Left,2.0,3.0,3.0,Normal,Back,185,83
24,78,83,20000000.0,47000.0,Left,2.0,2.0,3.0,Normal,Reserve,175,75
25,80,83,25000000.0,100000.0,Right,2.0,3.0,3.0,Normal,Middle,193,88
29,81,81,25500000.0,40000.0,Right,2.0,4.0,3.0,Normal,Middle,176,73
35,77,77,3000000.0,16000.0,Left,3.0,2.0,3.0,Lean,Middle,169,67
34,75,75,2600000.0,5000.0,Right,2.0,4.0,3.0,Normal,Middle,186,84
35,79,79,4900000.0,40000.0,Right,2.0,4.0,3.0,Lean,Reserve,184,75
29,78,78,13500000.0,74000.0,Left,2.0,4.0,4.0,Normal,Reserve,174,71
22,81,88,53000000.0,71000.0,Left,2.0,3.0,4.0,Stocky,Forward,190,75
32,82,82,20500000.0,88000.0,Right,2.0,3.0,3.0,Lean,Reserve,174,66
27,76,77,8500000.0,66000.0,Right,2.0,4.0,4.0,Normal,Reserve,180,73
22,81,87,41500000.0,105000.0,Left,2.0,3.0,4.0,Normal,Back,186,75
24,78,81,19000000.0,30000.0,Right,1.0,3.0,4.0,Lean,Middle,167,58
38,77,77,2300000.0,71000.0,Right,4.0,3.0,4.0,Normal,Back,172,70
28,79,79,17500000.0,12000.0,Left,2.0,3.0,4.0,Normal,Reserve,185,77
33,80,80,13000000.0,39000.0,Right,2.0,3.0,3.0,Lean,Middle,190,80
27,82,83,32000000.0,44000.0,Left,3.0,3.0,4.0,Lean,Back,172,66
29,80,80,20500000.0,105000.0,Right,3.0,4.0,4.0,Stocky,Reserve,174,70
25,82,84,38000000.0,100000.0,Right,1.0,4.0,4.0,Lean,Middle,175,73
28,76,76,7500000.0,26000.0,Right,1.0,3.0,3.0,Normal,Middle,182,76
26,78,79,15000000.0,12000.0,Right,2.0,3.0,3.0,Lean,Middle,179,71
34,80,80,10000000.0,39000.0,Right,2.0,4.0,4.0,Lean,Forward,180,70
21,79,86,35500000.0,11000.0,Right,2.0,5.0,3.0,Normal,Middle,175,68
28,85,85,55000000.0,230000.0,Right,4.0,3.0,5.0,Stocky,Back,176,78
30,74,74,3600000.0,45000.0,Left,1.0,2.0,3.0,Normal,Reserve,172,63
24,81,86,39000000.0,19000.0,Right,1.0,4.0,4.0,Normal,Back,173,77
24,76,82,11000000.0,38000.0,Left,1.0,2.0,3.0,Normal,Reserve,173,68
27,74,75,4800000.0,17000.0,Right,1.0,3.0,3.0,Normal,Middle,179,80
29,84,84,41500000.0,49000.0,Right,2.0,3.0,4.0,Normal,Middle,170,66
28,77,77,10500000.0,29000.0,Right,1.0,3.0,3.0,Normal,Middle,180,78
25,84,86,47500000.0,105000.0,Right,1.0,4.0,3.0,Lean,Reserve,183,74
31,79,79,12500000.0,35000.0,Right,2.0,3.0,3.0,Normal,Middle,180,74
25,77,80,14000000.0,12000.0,Right,2.0,4.0,3.0,Normal,Reserve,184,74
25,77,81,14500000.0,30000.0,Right,2.0,3.0,4.0,Normal,Middle,184,75
27,81,82,29500000.0,115000.0,Right,2.0,4.0,4.0,Lean,Reserve,172,64
34,77,77,3900000.0,23000.0,Left,1.0,3.0,3.0,Lean,Middle,175,68
24,81,86,35500000.0,20000.0,Right,2.0,4.0,3.0,Normal,Middle,191,77
36,78,78,2800000.0,13000.0,Right,2.0,4.0,3.0,Stocky,Middle,178,77
26,84,85,49500000.0,90000.0,Left,3.0,2.0,4.0,Stocky,Reserve,183,80
23,78,84,22000000.0,52000.0,Left,2.0,3.0,4.0,Lean,Reserve,180,69
30,78,78,12000000.0,27000.0,Right,1.0,3.0,4.0,Stocky,Middle,173,66
28,77,77,10500000.0,58000.0,Right,1.0,3.0,3.0,Normal,Reserve,184,74
26,79,80,20500000.0,55000.0,Right,3.0,4.0,4.0,Lean,Middle,180,69
25,74,79,6000000.0,20000.0,Right,1.0,3.0,3.0,Stocky,Middle,169,61
28,80,80,21000000.0,78000.0,Right,1.0,4.0,4.0,Normal,Reserve,185,78
29,77,77,10500000.0,1000.0,Right,2.0,4.0,3.0,Lean,Back,179,69
29,78,78,13500000.0,16000.0,Right,1.0,3.0,4.0,Lean,Reserve,179,70
