loanAmnt;annualInc;application_type;int_rate;revol_bal;revol_util;dti;emp_length;grade;homeOwnership;installment;job;loanDefault;mortAcc;pub_rec_bankruptcies;purpose;term;Year
12000.0;38000.0;INDIVIDUAL;12.35;9537.0;62.30;10.67;6;B;MORTGAGE;400.59;MCSO;Fully Paid;10;0;credit_card;36;2013
35000.0;118497.8;INDIVIDUAL;14.16;8148.0;83.10;10.37;9;C;MORTGAGE;1198.94;Administrator;Fully Paid;8;0;debt_consolidation;36;2014
10000.0;32000.0;INDIVIDUAL;17.56;11615.0;82.40;9.83;7;D;MORTGAGE;359.33;technician;Fully Paid;6;0;debt_consolidation;36;2013
15000.0;50000.0;INDIVIDUAL;18.55;8912.0;47.90;4.22;3;E;RENT;385.41;Field Biologist;Fully Paid;6;0;other;60;2015
9000.0;59500.0;INDIVIDUAL;12.35;25515.0;91.10;16.98;7;B;MORTGAGE;300.44;salt lake city school district;Fully Paid;9;0;credit_card;36;2013
25000.0;80000.0;INDIVIDUAL;22.15;20395.0;74.40;11.36;10;E;MORTGAGE;692.61;Rural Letter Carrier;Fully Paid;13;0;home_improvement;60;2014
5000.0;66000.0;INDIVIDUAL;10.39;15807.0;20.00;1.56;10;B;RENT;118.45;self;Fully Paid;12;0;medical;36;2008
20000.0;76000.0;INDIVIDUAL;7.90;11492.0;37.40;5.27;9;A;RENT;625.81;Sr Social Worker;Fully Paid;10;0;debt_consolidation;36;2013
10000.0;60000.0;INDIVIDUAL;15.99;9197.0;73.00;11.78;5;D;RENT;243.13;Truck driver;Fully Paid;8;0;credit_card;60;2015
10000.0;61000.0;INDIVIDUAL;16.07;13834.0;65.40;17.51;10;D;RENT;351.94;Taylor Public Schools;Fully Paid;11;0;debt_consolidation;36;2010
15975.0;47000.0;INDIVIDUAL;24.99;2049.0;58.50;2.40;5;F;MORTGAGE;468.80;carrier;Fully Paid;10;0;debt_consolidation;60;2015
12000.0;128000.0;INDIVIDUAL;14.99;7939.0;42.50;13.95;1;C;MORTGAGE;285.42;Attorney;Fully Paid;8;0;debt_consolidation;60;2014
9900.0;40000.0;INDIVIDUAL;9.67;13398.0;63.00;19.85;3;B;RENT;317.92;Bartender;Fully Paid;8;0;credit_card;36;2013
3350.0;52000.0;INDIVIDUAL;15.61;787.0;34.20;4.34;10;D;MORTGAGE;117.14;Administrative Assistant;Charged Off;4;0;debt_consolidation;36;2014
17000.0;50000.0;INDIVIDUAL;19.19;14014.0;46.70;16.72;2;E;RENT;442.77;Bookkeeper;Fully Paid;14;0;small_business;60;2015
6425.0;33000.0;INDIVIDUAL;8.39;6437.0;26.90;9.43;3;A;RENT;202.50;Office Administrator;Fully Paid;13;0;debt_consolidation;36;2014
7200.0;30000.0;INDIVIDUAL;21.00;8436.0;86.10;12.80;5;E;RENT;271.27;Roofers Local 195;Charged Off;8;0;credit_card;36;2013
7475.0;33000.0;INDIVIDUAL;12.69;4041.0;35.80;15.82;1;C;RENT;250.75;Cleric II;Fully Paid;20;0;debt_consolidation;36;2015
10000.0;55200.0;INDIVIDUAL;13.98;24493.0;62.30;23.37;10;C;MORTGAGE;341.68;Executive Manager;Fully Paid;13;0;credit_card;36;2014
13200.0;45000.0;INDIVIDUAL;10.74;10665.0;75.60;12.80;1;B;RENT;430.53;Brookdale University Hospital;Fully Paid;8;0;debt_consolidation;36;2012
19000.0;80000.0;INDIVIDUAL;6.68;26650.0;49.70;24.63;10;A;OWN;583.89;owner;Fully Paid;16;0;debt_consolidation;36;2015
11250.0;135000.0;INDIVIDUAL;19.22;4944.0;58.20;10.68;1;D;RENT;293.20;Global Account Director;Fully Paid;13;0;debt_consolidation;60;2013
17800.0;95000.0;INDIVIDUAL;11.49;27917.0;77.50;15.63;4;B;MORTGAGE;391.38;Dekalb County Fire Rescue;Charged Off;8;0;wedding;60;2011
33000.0;92000.0;INDIVIDUAL;17.27;32332.0;92.60;28.70;9;C;MORTGAGE;824.94;Medtronic;Fully Paid;12;0;debt_consolidation;60;2013
19000.0;48000.0;INDIVIDUAL;12.12;30071.0;46.50;29.76;8;B;RENT;632.17;Broward Sheriff Office;Fully Paid;12;0;debt_consolidation;36;2012
10000.0;40000.0;INDIVIDUAL;16.99;7680.0;64.00;14.34;7;D;OWN;356.48;CNA/QMA;Charged Off;8;0;debt_consolidation;36;2014
8050.0;29500.0;INDIVIDUAL;16.55;3327.0;39.60;28.23;4;D;RENT;285.21;CNA;Charged Off;9;0;debt_consolidation;36;2015
9000.0;80000.0;INDIVIDUAL;15.61;6554.0;76.20;15.51;6;D;RENT;314.69;Program Manager;Fully Paid;10;0;car;36;2015
7200.0;72000.0;INDIVIDUAL;19.97;7176.0;20.90;15.28;6;D;RENT;267.47;Ultrasound Technologist;Charged Off;19;0;moving;36;2014
5600.0;63000.0;INDIVIDUAL;7.89;5066.0;46.90;3.20;5;A;MORTGAGE;175.20;Mate;Fully Paid;5;0;credit_card;36;2016
10000.0;39000.0;INDIVIDUAL;18.25;5540.0;56.50;28.83;3;D;RENT;362.78;Lead Technician level 4 ;Fully Paid;20;0;house;36;2014
30000.0;187321.0;INDIVIDUAL;24.70;54810.0;93.40;21.03;5;G;MORTGAGE;875.28;Medtronic;Fully Paid;21;0;debt_consolidation;60;2012
9425.0;45000.0;INDIVIDUAL;13.49;15116.0;81.30;15.71;8;C;RENT;319.80;beach house mkt inc;Fully Paid;12;0;credit_card;36;2011
23000.0;80000.0;INDIVIDUAL;8.39;51791.0;73.90;14.49;10;A;MORTGAGE;724.89;Controller;Fully Paid;15;0;debt_consolidation;36;2014
18000.0;90000.0;INDIVIDUAL;10.99;12038.0;64.70;17.43;4;B;MORTGAGE;589.22;Sales Manager;Fully Paid;9;0;debt_consolidation;36;2013
30225.0;65800.0;INDIVIDUAL;18.24;14390.0;69.50;23.87;6;D;MORTGAGE;771.47;Attorney;Charged Off;11;0;debt_consolidation;60;2014
3000.0;39000.0;INDIVIDUAL;7.90;1865.0;26.20;14.86;1;A;RENT;93.88;PA Leadership Charter School;Fully Paid;11;0;small_business;36;2011
5000.0;52000.0;INDIVIDUAL;10.99;9855.0;27.30;16.27;7;B;RENT;163.67;Electrician;Fully Paid;11;0;debt_consolidation;36;2014
4000.0;75000.0;INDIVIDUAL;13.33;12663.0;86.00;5.34;10;C;MORTGAGE;135.42;technician;Fully Paid;9;0;debt_consolidation;36;2015
30000.0;101000.0;INDIVIDUAL;16.49;6080.0;76.00;15.76;10;D;RENT;1061.99;Sergeant Major;Fully Paid;7;1;debt_consolidation;36;2014
12625.0;43000.0;INDIVIDUAL;25.78;19993.0;55.70;33.88;7;F;MORTGAGE;376.36;Nursing Assistant;Fully Paid;18;0;credit_card;60;2015
13400.0;56000.0;INDIVIDUAL;25.83;28845.0;84.50;28.05;10;G;MORTGAGE;399.86;DESIGNER;Charged Off;23;0;debt_consolidation;60;2014
24250.0;46200.0;INDIVIDUAL;18.64;18894.0;90.00;21.32;10;E;MORTGAGE;624.27;Keystone Automotive Operations;Fully Paid;9;0;debt_consolidation;60;2011
21000.0;150000.0;INDIVIDUAL;12.12;40982.0;59.60;10.03;7;B;RENT;698.71;Branch Manager;Fully Paid;9;0;debt_consolidation;36;2013
17000.0;87000.0;INDIVIDUAL;7.51;17523.0;33.50;12.54;10;A;MORTGAGE;528.89;Black Horse Pike Regional School Distric;Fully Paid;15;0;debt_consolidation;36;2011
9100.0;41000.0;INDIVIDUAL;13.99;1355.0;10.80;11.80;9;C;RENT;310.98;Store manager;Charged Off;6;1;debt_consolidation;36;2015
26000.0;59500.0;INDIVIDUAL;15.22;24655.0;92.60;11.25;10;C;RENT;904.11;HHC 40th ESB (US Army);Fully Paid;8;0;credit_card;36;2013
30000.0;108000.0;INDIVIDUAL;15.31;19430.0;84.80;7.25;9;C;MORTGAGE;1044.52;Alice G. Alatorre DDS.;Charged Off;8;0;debt_consolidation;36;2012
15000.0;83000.0;INDIVIDUAL;6.62;2213.0;4.70;10.52;6;A;MORTGAGE;460.56;Capital One;Fully Paid;11;0;major_purchase;36;2013
8000.0;27000.0;INDIVIDUAL;12.35;9027.0;59.80;10.40;7;B;RENT;267.06;Sally beauty supply;Fully Paid;6;0;home_improvement;36;2013
8000.0;25000.0;INDIVIDUAL;12.99;11024.0;56.20;15.36;8;B;MORTGAGE;269.52;Production Administrator;Fully Paid;8;1;credit_card;36;2013
11200.0;106000.0;INDIVIDUAL;15.31;2524.0;11.10;11.82;9;C;RENT;268.28;Production Operator;Fully Paid;10;1;major_purchase;60;2016
12000.0;45000.0;INDIVIDUAL;7.69;5931.0;29.80;19.12;10;A;MORTGAGE;374.33;Maintenance;Fully Paid;11;0;credit_card;36;2014
6600.0;48000.0;INDIVIDUAL;19.53;13712.0;66.20;34.30;10;D;MORTGAGE;243.71;Legal Secretary;Fully Paid;23;1;debt_consolidation;36;2016
5000.0;54000.0;INDIVIDUAL;10.16;18470.0;69.20;20.56;6;B;RENT;161.72;Incomm;Fully Paid;10;0;debt_consolidation;36;2012
5000.0;55000.0;INDIVIDUAL;7.62;3602.0;13.80;1.96;10;A;OWN;155.81;Systems Administrator;Fully Paid;8;0;debt_consolidation;36;2013
14000.0;47000.0;INDIVIDUAL;9.75;8550.0;40.50;21.48;10;B;MORTGAGE;450.10;line worker;Fully Paid;10;0;debt_consolidation;36;2016
26575.0;70000.0;INDIVIDUAL;16.55;21936.0;68.80;9.32;1;D;RENT;941.54;Train Operator;Fully Paid;10;0;debt_consolidation;36;2015
8000.0;110000.0;INDIVIDUAL;12.99;52572.0;84.90;21.77;10;B;MORTGAGE;269.52;Principal;Fully Paid;18;0;debt_consolidation;36;2013
6500.0;43000.0;INDIVIDUAL;7.90;6248.0;23.80;18.87;1;A;MORTGAGE;203.39;Resident Service Director;Fully Paid;16;0;credit_card;36;2014
19725.0;73410.0;INDIVIDUAL;13.68;31123.0;82.30;22.23;2;C;MORTGAGE;455.71;Virginia Commonwealth University;Fully Paid;8;0;debt_consolidation;60;2013
18525.0;42000.0;INDIVIDUAL;15.88;6665.0;41.90;12.97;1;C;MORTGAGE;650.19;UGHS AUTIMIS BILLING INC;Fully Paid;7;0;debt_consolidation;36;2013
5400.0;153000.0;INDIVIDUAL;17.10;35490.0;79.80;17.90;5;C;MORTGAGE;192.80;Solutions Architect;Fully Paid;21;0;debt_consolidation;36;2013
33600.0;145000.0;INDIVIDUAL;16.29;50348.0;63.50;11.24;3;D;MORTGAGE;822.28;Analyst;Fully Paid;14;0;debt_consolidation;60;2014
28000.0;120000.0;INDIVIDUAL;17.86;26373.0;92.20;20.98;4;D;MORTGAGE;708.89;Director special projects;Fully Paid;9;0;debt_consolidation;60;2015
35000.0;95000.0;INDIVIDUAL;14.65;15437.0;42.10;13.20;10;C;MORTGAGE;1207.30;Teacher;Fully Paid;10;0;credit_card;36;2015
8400.0;105000.0;INDIVIDUAL;6.92;6024.0;76.30;6.89;3;A;RENT;259.07;Sales Rep.;Fully Paid;5;1;credit_card;36;2015
30000.0;72500.0;INDIVIDUAL;23.83;6875.0;94.20;14.09;10;F;MORTGAGE;860.09;Victorian Senior Care;Charged Off;7;0;debt_consolidation;60;2012
28000.0;104000.0;INDIVIDUAL;13.67;28164.0;77.00;20.03;1;C;MORTGAGE;646.74;Vice President;Charged Off;14;0;credit_card;60;2015
12525.0;70000.0;INDIVIDUAL;24.99;3723.0;26.20;2.40;2;F;RENT;497.93;Driver;Fully Paid;5;0;house;36;2015
9000.0;25000.0;INDIVIDUAL;10.75;5905.0;24.30;8.79;10;B;RENT;293.59;Sushi chef;Fully Paid;5;0;debt_consolidation;36;2016
19600.0;44000.0;INDIVIDUAL;11.14;2616.0;29.70;20.78;6;B;RENT;642.98;Wal-Mart;Fully Paid;8;0;debt_consolidation;36;2012
17625.0;85000.0;INDIVIDUAL;18.49;52379.0;37.60;23.22;10;D;MORTGAGE;641.53;Vero Beach Surgery Center;Charged Off;17;0;debt_consolidation;36;2013
15000.0;72000.0;INDIVIDUAL;11.99;26124.0;50.80;32.85;7;B;MORTGAGE;498.15;Recruiter;Fully Paid;16;0;debt_consolidation;36;2013
11875.0;56000.0;INDIVIDUAL;20.31;6182.0;33.10;5.42;10;D;OWN;443.20;USPS;Fully Paid;16;1;debt_consolidation;36;2013
30000.0;74000.0;INDIVIDUAL;17.86;20002.0;86.60;27.98;10;D;MORTGAGE;759.52;IT Specialist;Charged Off;13;0;credit_card;60;2015
10000.0;80000.0;INDIVIDUAL;17.57;9631.0;38.10;17.69;1;D;RENT;359.38;Branch Manager;Fully Paid;13;1;debt_consolidation;36;2015
13075.0;54777.0;INDIVIDUAL;27.31;3845.0;59.20;22.00;10;G;MORTGAGE;401.68;Clerk-specialist level;Fully Paid;4;0;debt_consolidation;60;2015
35000.0;88500.0;INDIVIDUAL;19.99;37256.0;79.60;19.88;10;E;MORTGAGE;927.10;Transportation manager;Fully Paid;5;0;home_improvement;60;2014
6500.0;40000.0;INDIVIDUAL;9.75;4803.0;94.20;34.86;10;B;RENT;208.98;invoice;Fully Paid;10;1;debt_consolidation;36;2016
12000.0;55000.0;INDIVIDUAL;6.49;6007.0;23.60;14.05;2;A;RENT;367.74;LPN;Fully Paid;11;0;debt_consolidation;36;2014
21000.0;45000.0;INDIVIDUAL;22.99;22739.0;75.50;34.32;2;F;RENT;591.88;buyer;Fully Paid;10;0;debt_consolidation;60;2015
25000.0;85000.0;INDIVIDUAL;12.59;109715.0;49.80;5.19;4;C;MORTGAGE;563.60;manager;Fully Paid;8;0;home_improvement;60;2015
20000.0;170000.0;INDIVIDUAL;10.37;140820.0;76.20;11.15;1;B;MORTGAGE;648.83;HP;Fully Paid;8;0;debt_consolidation;36;2011
5000.0;85000.0;INDIVIDUAL;9.17;5353.0;46.50;14.05;10;B;RENT;159.40;Administrative Specialist;Fully Paid;9;0;credit_card;36;2014
12000.0;45000.0;INDIVIDUAL;14.33;12126.0;89.80;9.33;10;C;RENT;412.06;miles electric co;Fully Paid;7;0;credit_card;36;2013
10000.0;150000.0;INDIVIDUAL;13.53;6675.0;72.60;5.70;6;B;MORTGAGE;339.50;Program Manager;Fully Paid;6;0;major_purchase;36;2014
15000.0;82000.0;INDIVIDUAL;7.90;17196.0;69.10;13.57;4;A;MORTGAGE;469.36;Imclone;Fully Paid;14;0;debt_consolidation;36;2012
20000.0;90000.0;INDIVIDUAL;22.45;17615.0;84.70;14.11;10;F;MORTGAGE;557.51;Dell Inc.;Charged Off;6;0;debt_consolidation;60;2012
16800.0;51000.0;INDIVIDUAL;24.99;16437.0;69.40;25.01;2;F;OWN;493.01;Math Teacher;Charged Off;8;1;credit_card;60;2016
5500.0;38000.0;INDIVIDUAL;13.11;5668.0;43.60;6.76;3;B;RENT;185.61;Smith & Wollensky;Fully Paid;5;0;credit_card;36;2012
13625.0;36000.0;INDIVIDUAL;14.64;21496.0;79.30;16.20;2;C;RENT;469.92;medical clinic coordinator;Fully Paid;6;0;credit_card;36;2014
8325.0;54290.0;INDIVIDUAL;16.99;8331.0;40.20;16.77;5;D;RENT;296.77;FSQA Supervisor II;Fully Paid;11;0;debt_consolidation;36;2014
6375.0;20000.0;INDIVIDUAL;24.50;2912.0;64.70;23.73;1;F;OWN;251.79;Installer;Charged Off;6;0;other;36;2014
10000.0;21000.0;INDIVIDUAL;17.99;1669.0;11.10;2.16;2;D;MORTGAGE;361.48;Quick Cash Advance LLC.;Fully Paid;3;0;house;36;2012
13225.0;65300.0;INDIVIDUAL;12.35;20175.0;36.40;10.47;2;B;MORTGAGE;441.48;Lifepoint Hospitals;Fully Paid;13;0;major_purchase;36;2013
12000.0;63000.0;INDIVIDUAL;10.16;10965.0;43.70;20.90;7;B;MORTGAGE;388.11;precision strip, inc;Fully Paid;11;0;credit_card;36;2012
35000.0;110000.0;INDIVIDUAL;9.16;58213.0;61.00;12.57;10;B;MORTGAGE;1115.60;Manager Maintenance, Compliance;Fully Paid;13;0;debt_consolidation;36;2016
12000.0;98794.1;INDIVIDUAL;6.03;18724.0;24.80;4.49;10;A;MORTGAGE;365.23;Palm Beach County Sheriff's Office;Fully Paid;15;0;debt_consolidation;36;2012
5000.0;20000.0;INDIVIDUAL;9.16;1600.0;16.30;20.41;6;B;MORTGAGE;159.38;Office Manager;Fully Paid;12;1;debt_consolidation;36;2016
11350.0;56300.0;INDIVIDUAL;16.55;21016.0;88.70;29.27;10;D;RENT;402.13;Assistant Store Director;Fully Paid;6;0;debt_consolidation;36;2015
9000.0;92000.0;INDIVIDUAL;13.67;14033.0;42.10;11.31;4;B;MORTGAGE;306.16;Case Manager;Charged Off;13;0;home_improvement;36;2013
25000.0;65187.4;INDIVIDUAL;14.99;10574.0;64.50;8.21;10;C;RENT;594.62;Social worker;Fully Paid;7;0;credit_card;60;2014
21000.0;60000.0;INDIVIDUAL;14.65;15343.0;46.60;21.14;10;C;MORTGAGE;724.38;FINGER LAKES DDSO;Fully Paid;20;0;home_improvement;36;2012
13000.0;52000.0;INDIVIDUAL;12.49;9169.0;70.50;15.44;5;B;RENT;434.84;Field Nurse;Fully Paid;9;0;debt_consolidation;36;2014
9600.0;70000.0;INDIVIDUAL;15.61;0.0;0.00;23.50;10;D;MORTGAGE;335.67;social service supervisor;Charged Off;18;0;credit_card;36;2014
2800.0;29000.0;INDIVIDUAL;10.16;2763.0;38.90;14.69;3;B;RENT;90.56;biomat;Fully Paid;8;0;credit_card;36;2012
2200.0;65500.0;INDIVIDUAL;16.29;76757.0;16.20;10.49;10;D;MORTGAGE;77.67;Quality Control Specialist;Fully Paid;5;0;credit_card;36;2014
19200.0;88000.0;INDIVIDUAL;15.31;10179.0;30.10;24.09;3;C;MORTGAGE;668.50;Project manager ;Fully Paid;9;0;debt_consolidation;36;2016
9000.0;110000.0;INDIVIDUAL;11.55;9248.0;58.90;13.32;6;B;MORTGAGE;297.00;Dell Inc;Fully Paid;19;0;debt_consolidation;36;2013
8000.0;80000.0;INDIVIDUAL;6.62;19764.0;21.60;26.39;6;A;MORTGAGE;245.63;Machinist;Fully Paid;12;0;credit_card;36;2014
5000.0;42000.0;INDIVIDUAL;17.76;19118.0;82.10;33.77;10;D;RENT;180.17;Office Assistant Sr;Fully Paid;14;0;other;36;2013
11800.0;44011.0;INDIVIDUAL;28.99;6313.0;67.20;15.68;6;G;RENT;374.49;Attorney;Fully Paid;9;1;debt_consolidation;60;2016
7000.0;96720.0;INDIVIDUAL;6.24;3330.0;11.50;22.03;10;A;MORTGAGE;213.72;IT Process Manager;Fully Paid;12;0;home_improvement;36;2015
