mpg,horsepower,weight,origin,name
17,130,3840,American,chevrolet caprice classic
17.6,129,3725,American,ford ltd landau
16.5,138,3955,American,mercury grand marquis
18.2,135,3830,American,dodge st. regis
16.9,155,4360,American,buick estate wagon (sw)
15.5,142,4054,American,ford country squire (sw)
19.2,125,3605,American,chevrolet malibu classic (sw)
18.5,150,3940,American,chrysler lebaron town @ country (sw)
31.9,71,1925,European,vw rabbit custom
34.1,65,1975,Japanese,maxda glc deluxe
35.7,80,1915,American,dodge colt hatchback custom
27.4,80,2670,American,amc spirit dl
25.4,77,3530,European,mercedes benz 300d
23,125,3900,American,cadillac eldorado
27.2,71,3190,European,peugeot 504
23.9,90,3420,American,oldsmobile cutlass salon brougham
34.2,70,2200,American,plymouth horizon
34.5,70,2150,American,plymouth horizon tc3
31.8,65,2020,Japanese,datsun 210
37.3,69,2130,European,fiat strada custom
28.4,90,2670,American,buick skylark limited
28.8,115,2595,American,chevrolet citation
26.8,115,2700,American,oldsmobile omega brougham
33.5,90,2556,American,pontiac phoenix
41.5,76,2144,European,vw rabbit
38.1,60,1968,Japanese,toyota corolla tercel
32.1,70,2120,American,chevrolet chevette
37.2,65,2019,Japanese,datsun 310
28,90,2678,American,chevrolet citation
26.4,88,2870,American,ford fairmont
24.3,90,3003,American,amc concord
19.1,90,3381,American,dodge aspen
34.3,78,2188,European,audi 4000
29.8,90,2711,Japanese,toyota corona liftback
31.3,75,2542,Japanese,mazda 626
37,92,2434,Japanese,datsun 510 hatchback
32.2,75,2265,Japanese,toyota corolla
46.6,65,2110,Japanese,mazda glc
27.9,105,2800,American,dodge colt
40.8,65,2110,Japanese,datsun 210
44.3,48,2085,European,vw rabbit c (diesel)
43.4,48,2335,European,vw dasher (diesel)
36.4,67,2950,European,audi 5000s (diesel)
30,67,3250,European,mercedes-benz 240d
44.6,67,1850,Japanese,honda civic 1500 gl
33.8,67,2145,Japanese,subaru dl
29.8,62,1845,European,vokswagen rabbit
32.7,132,2910,Japanese,datsun 280-zx
23.7,100,2420,Japanese,mazda rx-7 gs
35,88,2500,European,triumph tr7 coupe
32.4,72,2290,Japanese,honda accord
27.2,84,2490,American,plymouth reliant
26.6,84,2635,American,buick skylark
25.8,92,2620,American,dodge aries wagon (sw)
23.5,110,2725,American,chevrolet citation
30,84,2385,American,plymouth reliant
39.1,58,1755,Japanese,toyota starlet
39,64,1875,American,plymouth champ
35.1,60,1760,Japanese,honda civic 1300
32.3,67,2065,Japanese,subaru
37,65,1975,Japanese,datsun 210 mpg
37.7,62,2050,Japanese,toyota tercel
34.1,68,1985,Japanese,mazda glc 4
34.7,63,2215,American,plymouth horizon 4
34.4,65,2045,American,ford escort 4w
29.9,65,2380,American,ford escort 2h
33,74,2190,European,volkswagen jetta
33.7,75,2210,Japanese,honda prelude
32.4,75,2350,Japanese,toyota corolla
32.9,100,2615,Japanese,datsun 200sx
31.6,74,2635,Japanese,mazda 626
28.1,80,3230,European,peugeot 505s turbo diesel
30.7,76,3160,European,volvo diesel
25.4,116,2900,Japanese,toyota cressida
24.2,120,2930,Japanese,datsun 810 maxima
22.4,110,3415,American,buick century
26.6,105,3725,American,oldsmobile cutlass ls
20.2,88,3060,American,ford granada gl
17.6,85,3465,American,chrysler lebaron salon
28,88,2605,American,chevrolet cavalier
27,88,2640,American,chevrolet cavalier wagon
34,88,2395,American,chevrolet cavalier 2-door
31,85,2575,American,pontiac j2000 se hatchback
29,84,2525,American,dodge aries se
27,90,2735,American,pontiac phoenix
24,92,2865,American,ford fairmont futura
36,74,1980,European,volkswagen rabbit l
37,68,2025,Japanese,mazda glc custom l
31,68,1970,Japanese,mazda glc custom
38,63,2125,American,plymouth horizon miser
36,70,2125,American,mercury lynx l
36,88,2160,Japanese,nissan stanza xe
36,75,2205,Japanese,honda accord
34,70,2245,Japanese,toyota corolla
38,67,1965,Japanese,honda civic
32,67,1965,Japanese,honda civic (auto)
38,67,1995,Japanese,datsun 310 gx
25,110,2945,American,buick century limited
38,85,3015,American,oldsmobile cutlass ciera (diesel)
26,92,2585,American,chrysler lebaron medallion
22,112,2835,American,ford granada l
32,96,2665,Japanese,toyota celica gt
36,84,2370,American,dodge charger 2.2
27,90,2950,American,chevrolet camaro
27,86,2790,American,ford mustang gl
44,52,2130,European,vw pickup
32,84,2295,American,dodge rampage
28,79,2625,American,ford ranger
31,82,2720,American,chevy s-10
